image_link,generated_output
https://lied.ku.edu/wp-content/uploads/2024/04/2425-digging-roots-feature.jpg?x75479,The person is posing for a picture in a studio with a hat on.
https://lied.ku.edu/wp-content/uploads/2024/04/2425-hadestown-feature2.jpg?x75479,The poster for Hades town has a hand holding a flower.
https://lied.ku.edu/wp-content/uploads/2024/04/2425-paul-taylor-dance-2025-feature.jpg?x75479,"The Paul Taylor Dance Company is performing a dance on a stage in Hadestown, Pennsylvania."
https://lied.ku.edu/wp-content/uploads/2024/04/2425-sullivan-fortner-feature.jpg?x75479,The man is sitting in a restaurant with a glass of wine.
https://lied.ku.edu/wp-content/uploads/2024/04/2425-sullivan-fortner-feature.jpg?x75479,A man is sitting in a restaurant with a glass of wine.
https://lied.ku.edu/wp-content/uploads/2023/06/2425-cher-show-feature.jpg?x75479,The over show logo with two women in black and orange.
https://lied.ku.edu/wp-content/uploads/2024/05/2425-Derek-web.jpg?x75479,The person is wearing a suit and tie.
https://lied.ku.edu/wp-content/uploads/2019/05/fotl-horz-blue.png?x75479,The logo is a friend of the led logo.
https://lied.ku.edu/wp-content/uploads/2024/05/2425-Mailer-cover-660x440-1-300x200.png?x75479,A person is wearing a tie and a hat.
https://lied.ku.edu/wp-content/uploads/2018/08/beyond-the-stage-hero-2-e1533308236651-300x148.jpg?x75479,A group of people are walking on a horse.
https://lied.ku.edu/wp-content/uploads/2024/05/beckmeisters-gray.png?x75479,Beckmeisterers logo on a gray background.
https://lied.ku.edu/wp-content/uploads/2021/12/BHE-Ready-gray.png?x75479,The logo is a black hills energy ready logo.
https://lied.ku.edu/wp-content/uploads/2017/04/Bridge-Haven-gray.png?x75479,The logo for a building company is shown in the image.
RUN_TIMES,[160.08707547187805]
